,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
0,insulin,1.0,insulin,1.0,insulin,1.0,insulin,1.0,insulin,1.0
1,Chst1,-0.6785822204394851,Fbxo21,-0.6906656259514019,Tph2,0.6084855226605758,Trim6,0.4696769321878127,"AC096625.1,Pbx1",0.437274815621104
2,Gm10374,-0.6721566576274542,Rcan1,0.6669636773044859,Ubd,0.5211198153176155,Gata5,-0.45218341924970895,"Gm23024,Khdrbs2",-0.42470965673525746
3,Zrsr1,-0.6660259975201603,Anxa2,0.652279205983894,Itgad,0.5012398967158977,Ccdc99,0.4366571172701097,Mttp,-0.42430290039467755
4,Tab3,-0.656852384612263,Igfbp2,-0.6316700648145896,Dnmt3l,0.49722634638458146,Il12rb1,0.42045214001114084,Gpr182,0.4205661423487852
5,Nedd4l,0.6544334304180414,Dak,0.6302065033465966,Cfd,-0.49692115748045823,Cdc25c,0.3984938316127442,Khdrbs2,-0.4111684460948976
6,Rcc1,0.6459127822545268,Tmem43,0.629747484223412,Lep,0.48975428074974653,Ece2,0.3908435481393094,"Itpr3,mmu-mir-7677",0.41059958492581433
7,Sort1,-0.6457314674668236,Uck1,0.6191808957903323,S100a8,0.47601876542542454,Ghsr,0.38344912735815145,Slc22a18,0.39945430506570184
8,Pxmp2,-0.6308440889759115,Slc22a3,0.6160991340358131,Ccr5,0.4641820880602745,Adsl,0.37844590599414596,Mlycd,0.39512897582908474
9,Pck1,-0.6306713993795093,Irs2,-0.6096126018706294,Dpep2,0.4249951859796613,LOC100046032,0.36627637728730245,Il1r1,0.3903826864680339
10,Las1l,-0.6281024883672908,Cd151,0.6070105959213434,Olfm1,0.42088822792029934,Kif4,0.3582233144070191,Vps33a,-0.3903783971646264
11,Atp5h,-0.6264466371226728,Ces2a,-0.6043872054676329,Saa3,0.4167448527469338,Cox4nb,0.356560301010398,Arsk,0.3899122082393263
12,Ncor1,-0.6252614337760216,Cyp27a1,-0.5983015699476659,Lcn8,0.4142618915195231,Ubtd2,0.3557945316143366,"Mir193b,Mir365-1,mmu-mir-6365",0.38979245231698606
13,Spc25,0.6246358032311745,Avpr1a,-0.596622089580592,Cd84,0.4045003944874265,Olfr1179,-0.35560544018790896,Umodl1,0.38026025401657554
14,Ubtd1,0.6229455051632632,Mcm2,0.5944717661214048,Akt2,-0.39528168694503174,Gnao1,-0.355252918637737,2210408I21Rik,0.3798865646256865
15,Fam167b,0.6224916750464192,Cd36,0.5936377911684702,Prkcdbp,0.39380384251306927,Yif1a,0.3542102625365978,"C130026L21Rik,E130006D01Rik",0.3778058709835438
16,Dnmt3l,0.6220769223817619,Cyp1a2,-0.5897306414796006,Trem2,0.39282131106278684,Phxr5,0.3510693650264747,Sbno1,-0.37719407592364845
17,Wdr45,-0.6219083414398682,Smc2,0.5886883293803451,Rnf207,0.3910918512845337,Ppia,0.3502110927320541,Adrb3,-0.37121302966872827
18,Tlr2,0.6211079966011875,Foxp1,-0.5792348969101138,Clec4b1,0.38673671042478763,Ren1,0.3488497586903326,Col6a2,0.36993804675999975
19,Kctd5,0.6191502719658651,Mogat1,0.5780709506052222,Ear11,0.385752703164726,Tfdp1,0.3467714530020108,Cp,0.36735421596789064
20,Lair1,0.6186768546801197,Xpot,0.5753331202410927,Ar,-0.38491316476950377,Tyms-ps,0.34544876694883797,Stab2,0.3667884157926306
21,Cenpv,-0.6184312796537799,Ly6d,0.5751431817111489,Lhfpl2,0.384313096731171,Dbndd2,-0.3448721941726056,Gskip,-0.3640241651326764
22,Gne,-0.6171204233998118,Apoa1,-0.5706385199731643,Csf2ra,0.38399715283495056,Rc3h1,0.34403246032852935,Spcs3,-0.3624674665721659
23,Rhoc,0.6166068643152891,Cmpk1,0.5706020870825197,Mfap5,0.3813576217030268,Rp2h,0.3395116808549415,Fn1,0.3619875063611527
24,Adh5,-0.6159064034944974,Ckap2,0.5701005150031394,Serpina3n,0.3787134429760167,Trim13,-0.3367588016887435,Anxa1,0.3589946995181675
25,Nrbp2,-0.6156675561700217,Rpl10a,-0.5663894564521691,2310016C08Rik,0.377063129433851,Thoc4,0.33321155651715145,Iqgap1,0.35512945279204616
26,Grhpr,-0.6152577133859609,Chd1l,0.5660848337261694,Lipf,0.375835836225905,Tbc1d22a,-0.33317568059029784,"2700099C18Rik,Gm1976",0.3539917861101647
27,Cebpb,0.6138519931100912,Mad2l1,0.5649626125675973,Npr3,0.37366220062708033,Cradd,0.331911474896126,Vwf,0.3536850113822029
28,Tubb5,0.6136415696244035,Cdk1,0.564156896672197,Zfhx2,-0.37342118136131197,Hist1h2ah,0.3303505025546072,A930024E05Rik,0.35344937912171065
29,Pink1,-0.613400560679116,Pdlim2,0.5636086425464565,Myadm,0.37273283242976424,Cops3,0.32981938487660123,Glra2,-0.3530548992248117
30,Zscan26,-0.6131263546003085,Gpld1,-0.5555828374810216,Fam132b,0.36992271149608125,9530053A07Rik,0.3251923673431223,"Gm24067,Ppan",0.35301625918904295
31,Gkap1,-0.6126188811994537,S100a10,0.554551909845596,Atxn1,-0.3698144860510715,Olfr1105,0.32460290168994,Zfp366,0.3507337940682634
32,Churc1,-0.6120517397458265,Golm1,0.5543623087471642,Slc15a3,0.3686384393514229,Tgfb2,0.3234362040565095,Srsf5,0.3503597124197431
33,Anapc13,-0.6099300629447014,Cyp2c70,-0.5540365582756662,Rab32,0.36796956909185585,Mrps11,0.3210225992510419,Itgb1,0.3498396290278812
34,Cbr1,-0.60987293290282,Upb1,-0.5534556598480201,2410014A08Rik,-0.36527186650616705,Ret,-0.32057019586933344,Gm4349,0.3490960787927656
35,Surf1,-0.608997975977964,Apom,-0.5520304627230408,Itpr3,0.3650585227371489,Grhl1,0.32003337514074126,Tbx15,0.3489219022579094
