,gene_name,centrality,rank
165,Aacs,0.43129415891844164,2491
171,Aanat,0.2857515255610855,9809
220,Abhd2,0.4094319763717609,3644
226,Abi1,0.36648121101908404,6342
237,Acaca,0.4845781901663944,731
282,Acsl1,0.38881166812931944,4896
289,Acta1,0.37910250218014313,5536
290,Acta2,0.2823502782216132,9850
291,Actb,0.42373904484083735,2889
292,Actc1,0.2590694421809368,9980
296,Actn2,0.3357179407589138,8184
307,Acvr1c,0.41682094427708977,3223
346,Adcy2,0.36813520638904257,6232
347,Adcy3,0.4202486531326753,3055
348,Adcy4,0.36668034086683343,6326
349,Adcy6,0.4070852108458378,3787
350,Adcy7,0.4155312013676589,3305
351,Adcy8,0.5190970697948523,228
352,Adcy9,0.51826039718465,235
354,Adcyap1r1,0.4476073195557001,1740
361,Adipor1,0.34348368697064746,7768
362,Adipor2,0.38083829969867317,5430
364,Adm,0.32707524289855255,8596
374,Adra1a,0.42081810327816604,3032
375,Adra1b,0.47792575553131905,886
376,Adra2a,0.4179081163710027,3176
377,Adra2b,0.45343080165571026,1549
378,Adra2c,0.3310357074673985,8414
379,Adrb1,0.44086053969336597,2036
380,Adrb2,0.2819190780130762,9855
381,Adrb3,0.39091179021285377,4769
413,Agrp,0.3548679933460208,7087
414,Agt,0.39814340776236695,4296
416,Agtr2,0.36787834051567614,6254
417,Agtrap,0.36546652121187506,6403
420,Ahcyl1,0.4042254837407517,3941
439,Aifm1,0.3981815087801964,4290
458,Akap8,0.41023387606929734,3597
471,Akt1,0.3300094267261303,8470
472,Akt2,0.47660962665520196,924
482,Aldh1a2,0.42768214742624905,2679
512,Alpl,0.3323508278199361,8345
585,Anxa1,0.43280995191821914,2427
614,Ap3s1,0.3601886279191126,6739
628,Apc,0.5247004851122692,195
639,Aplp1,0.5036852163218267,407
642,Apoa1,0.31547527862178754,9064
644,Apoa2,0.38629951583292893,5058
645,Apobec1,0.4474858150815921,1745
655,App,0.4160503823289554,3263
657,Appl1,0.38797108559749577,4950
658,Appl2,0.3332229497647829,8303
659,Aprt,0.4139257232884227,3389
662,Aqp3,0.3347300573800673,8233
666,Ar,0.4291922179589333,2604
719,Arid1a,0.5599013766153514,36
724,Arid5a,0.4212609504838263,3009
754,Arnt,0.36192397140831306,6625
755,Arnt2,0.39318286360738847,4617
759,Arpc1b,0.39755649198131293,4346
767,Arrb1,0.47992375126807485,840
768,Arrb2,0.3872189173985561,5002
799,Ash2l,0.4067061512778823,3806
803,Asns,0.4424787856477303,1958
886,Atp6ap1,0.35306008839348285,7194
888,Atp6v0a1,0.4931294998805194,567
889,Atp6v0a2,0.3838997014519877,5225
890,Atp6v0b,0.46879694297483837,1107
891,Atp6v0d1,0.42995172465267606,2567
893,Atp6v1a,0.48650692070009544,696
894,Atp6v1b2,0.3742696811719736,5848
895,Atp6v1c1,0.4271799145026182,2712
896,Atp6v1c2,0.34310237284374046,7790
897,Atp6v1d,0.5116728391884939,317
898,Atp6v1e1,0.4375089263650065,2210
899,Atp6v1f,0.47840766610028546,879
900,Atp6v1g2,0.3743301912164574,5844
901,Atp6v1h,0.44531623870849546,1831
933,Avp,0.41670555165983514,3230
935,Avpr1a,0.3273715323081955,8577
936,Avpr2,0.2930201524065689,9698
940,Axin1,0.348026786656184,7510
942,Axl,0.2704803126261315,9941
980,Bad,0.43543259365890935,2291
988,Baiap2,0.41047560586609994,3580
989,Baiap2l1,0.29338689900843157,9692
1007,Bbs2,0.35959378758323585,6781
1035,Bcar1,0.41453075654674293,3350
1036,Bcar3,0.4685720092125992,1114
1038,Bcas3,0.3247550803580606,8682
1052,Bcl2l11,0.36325106693487835,6547
1054,Bcl2l2,0.41709328943639473,3210
1107,Bmp7,0.3605823228916457,6713
1131,Brca1,0.30238586803082895,9458
1145,Brk1,0.43537005518329464,2295
1190,C2cd2l,0.4000584056681661,4168
1229,Cacybp,0.4207246603971895,3037
1230,Cad,0.39185076648614303,4699
1233,Cadm4,0.41636754391410624,3247
1236,Calb1,0.4261710827533474,2760
1238,Calca,0.42681793036109256,2728
1239,Calcb,0.3173080828655922,8984
