,gene_name,centrality,rank
0,0610005C13Rik,0.5724925225222822,6165
1,0610007P14Rik,0.6486868271573853,4442
2,0610009B22Rik,0.839813881083874,1320
3,0610009D07Rik,0.7551906741347048,2492
4,0610009O20Rik,0.8520668228733839,1163
5,0610010K14Rik,0.594210097178606,5639
6,0610031J06Rik,0.7679279917452904,2321
7,0610037L13Rik,0.7466006975034878,2628
8,0610040J01Rik,0.39125347705102664,9800
9,1110001A16Rik,0.798801670289004,1900
10,1110001J03Rik,0.8498970375127863,1194
11,1110004E09Rik,0.5782374555043953,6021
12,1110004F10Rik,0.6889012671689478,3671
13,1110007C09Rik,0.897389692896483,655
14,1110008F13Rik,0.6463849865681827,4488
15,1110008J03Rik,0.5727258322786201,6161
16,1110008P14Rik,0.5950783553660546,5626
17,1110012L19Rik,0.6558023214596995,4300
18,1110032A03Rik,0.8701511273377802,932
19,1110037F02Rik,0.7858190924299924,2065
20,1110038F14Rik,0.6691395434077801,4032
21,1110051M20Rik,0.4094736678901022,9639
22,1110054M08Rik,0.9116358808692085,505
23,1110057K04Rik,0.765294765112382,2359
24,1110058L19Rik,0.6846974526740555,3752
25,1110059E24Rik,0.7061299489656031,3333
26,1110059G10Rik,0.6102746873107681,5296
27,1190002N15Rik,0.5252671951462007,7313
28,1190005I06Rik,0.9445092377646832,196
29,1200014J11Rik,0.5857311386427475,5849
30,1300017J02Rik,0.37864494206786437,9873
31,1500015O10Rik,0.4879374430565039,8198
32,1600012H06Rik,0.7379131337037063,2761
33,1600014C10Rik,0.849652220908705,1195
34,1600029D21Rik,0.4667832232809236,8663
35,1700001G17Rik,0.5673871158928007,6282
36,1700001O22Rik,0.6472770282786858,4469
37,1700010I14Rik,0.4609484140484689,8795
38,1700017B05Rik,0.7434473231413009,2675
39,1700019G17Rik,0.3986153271740322,9747
40,1700019L03Rik,0.3789313423551973,9871
41,1700020I14Rik,0.7835183855184885,2098
42,1700021F05Rik,0.6185862732832567,5101
43,1700028P14Rik,0.47613324221070585,8454
44,1700029H14Rik,0.5809009297930855,5959
45,1700030K09Rik,0.7141162801172538,3195
46,1700037H04Rik,0.6307972080010033,4807
47,1700052N19Rik,0.6179462912081736,5121
48,1700088E04Rik,0.5018391723851457,7884
49,1700094D03Rik,0.541960842722802,6911
50,1700123O20Rik,0.7663848970416736,2345
51,1810009A15Rik,0.8164928198567807,1636
52,1810011O10Rik,0.6877576029018332,3698
53,1810019J16Rik,0.4883591956147254,8181
54,1810026J23Rik,0.5376863813063468,7006
55,1810030O07Rik,0.4509509034895475,8997
56,1810032O08Rik,0.5584961924147647,6494
57,1810037I17Rik,0.5988752785414512,5546
58,1810043G02Rik,0.8763660873909112,864
59,1810055G02Rik,0.7745557643104819,2221
