,gene_name,centrality,rank
165,Aacs,0.8567055855860717,1101
171,Aanat,0.4858968063970375,8245
220,Abhd2,0.6302154286636759,4821
226,Abi1,0.9367163874088523,261
237,Acaca,0.6966584672093568,3523
282,Acsl1,0.46295851784666137,8746
289,Acta1,0.4694958244262461,8594
290,Acta2,0.5697898386336053,6221
291,Actb,0.5692736315609602,6239
292,Actc1,0.4714448152701487,8556
296,Actn2,0.40208362730810515,9719
307,Acvr1c,0.7495392393847843,2574
346,Adcy2,0.4004745087018295,9732
347,Adcy3,0.5417492685544799,6915
348,Adcy4,0.6210987605280994,5051
349,Adcy6,0.9209558780378971,421
350,Adcy7,0.9852536296903341,14
351,Adcy8,0.4717523570733076,8544
352,Adcy9,0.5793751055075785,5991
354,Adcyap1r1,0.402280025571767,9715
361,Adipor1,0.7037576198535186,3384
362,Adipor2,0.7621828531454468,2402
364,Adm,0.5262758641266415,7289
374,Adra1a,0.5229349158869053,7369
375,Adra1b,0.5819672376812282,5939
376,Adra2a,0.44882639345261144,9029
377,Adra2b,0.520481991779516,7430
378,Adra2c,0.5476728014114638,6760
379,Adrb1,0.8798977603958428,829
380,Adrb2,0.6498010475580488,4422
381,Adrb3,0.9504757840742014,163
413,Agrp,0.565627640560344,6317
414,Agt,0.8759545112471754,870
416,Agtr2,0.4831656230664669,8301
417,Agtrap,0.577068023575142,6059
420,Ahcyl1,0.6240095062828701,4978
439,Aifm1,0.8160653422567786,1644
458,Akap8,0.5770797507419111,6058
471,Akt1,0.7812362903824087,2131
472,Akt2,0.8981934676592183,646
482,Aldh1a2,0.6399402352968268,4600
512,Alpl,0.567719875592742,6277
585,Anxa1,0.7856963686985223,2070
614,Ap3s1,0.4994581431844797,7944
628,Apc,0.6270961222617204,4892
639,Aplp1,0.6306057978065025,4812
642,Apoa1,0.4255606194384836,9403
644,Apoa2,0.3806768332274472,9855
645,Apobec1,0.9050085597576037,578
655,App,0.5719601902812774,6175
657,Appl1,0.5728868933759643,6154
658,Appl2,0.6294381141350643,4836
659,Aprt,0.9068664479352427,557
662,Aqp3,0.5120221513810106,7642
666,Ar,0.924470378646195,377
719,Arid1a,0.5903280216352823,5743
724,Arid5a,0.4524816221622802,8964
754,Arnt,0.3751231871609529,9904
755,Arnt2,0.4263584265096398,9391
759,Arpc1b,0.9570302092914672,131
767,Arrb1,0.6036595937599266,5447
768,Arrb2,0.9717775446136816,54
799,Ash2l,0.5359169791671674,7054
803,Asns,0.9077013253570605,550
886,Atp6ap1,0.8477724811188624,1226
888,Atp6v0a1,0.8877899873486146,743
889,Atp6v0a2,0.54162993944812,6919
890,Atp6v0b,0.8794097912306531,834
891,Atp6v0d1,0.6230208169527309,5007
893,Atp6v1a,0.9332622866088659,297
894,Atp6v1b2,0.957870352832926,126
895,Atp6v1c1,0.8937830287738951,690
896,Atp6v1c2,0.6342661608961537,4721
897,Atp6v1d,0.6233425182678911,4997
898,Atp6v1e1,0.6089610120379904,5320
899,Atp6v1f,0.8461164850359346,1241
900,Atp6v1g2,0.4015787667533815,9725
