,gene_name,centrality,rank
160,A2m,0.5010553928389359,7902
216,Abhd15,0.826022005918831,1511
218,Abhd17a,0.5692320438876474,6240
247,Acan,0.47964498464911276,8381
253,Ace,0.5434716657505385,6877
255,Ache,0.6920251764984209,3616
278,Acrbp,0.6381801234787692,4629
320,Adam17,0.9034903240888953,592
324,Adam23,0.597810285494433,5574
329,Adamts1,0.4081149058285165,9649
330,Adamts10,0.5387431863843504,6979
331,Adamts15,0.7284926830354412,2911
332,Adamts4,0.6388956781369651,4614
333,Adamts7,0.5645172540540985,6345
334,Adamts8,0.4655397423899205,8692
335,Adamtsl4,0.7309835361010973,2859
336,Adamtsl5,0.5979555352137789,5571
343,Adck1,0.5107581668960507,7677
353,Adcyap1,0.4405805225792645,9173
361,Adipor1,0.7037829915496444,3381
362,Adipor2,0.7622184598441504,2402
364,Adm,0.526170890122859,7290
370,Adpgk,0.4141083122201528,9577
387,Aebp1,0.5773380079832473,6050
404,Aggf1,0.8095079597739657,1742
412,Agrn,0.7455700787222062,2643
413,Agrp,0.5656311333789463,6317
414,Agt,0.87592912733757,871
442,Aimp1,0.35739829884441326,9961
504,Alk,0.5289135375848338,7230
518,Amh,0.4840348989647473,8284
529,Amy1,0.963096024401689,86
540,Ang,0.4355269558061586,9258
543,Angpt1,0.5986439426526847,5550
544,Angptl1,0.4604770476278068,8809
545,Angptl2,0.5372668028984287,7016
546,Angptl4,0.5996264523093874,5536
547,Angptl6,0.5621064841356985,6404
548,Angptl7,0.422830047119239,9445
585,Anxa1,0.7856671991003851,2071
586,Anxa2,0.616805176190796,5144
638,Apln,0.5425361388080987,6897
642,Apoa1,0.42554974892796266,9405
643,Apoa1bp,0.7515834476770489,2548
644,Apoa2,0.3806745964102882,9855
649,Apoc1,0.7776149586643037,2183
650,Apoc3,0.39145352083557183,9798
651,Apod,0.5052712796593206,7806
652,Apoe,0.7240547416236823,2993
653,Apoh,0.35484726142462125,9969
774,Artn,0.44584103654025686,9078
781,Asah2,0.6779979777014948,3873
808,Aspn,0.5213809836625684,7411
889,Atp6v0a2,0.5415542796518958,6921
933,Avp,0.3723226542086931,9914
937,AW112010,0.485716932878282,8248
950,B2m,0.49474701716957925,8049
965,B4galt1,0.6581620043777766,4254
1032,Bcan,0.5201707152186541,7439
1034,Bcap31,0.6718521613685766,3982
1043,Bche,0.8832433021505682,787
1068,Bdnf,0.4848906953961627,8270
1077,Bgn,0.8144746564620359,1667
1102,Bmp1,0.766905606297264,2336
1103,Bmp2,0.4877478547447624,8201
1105,Bmp4,0.7835262908339291,2097
1106,Bmp5,0.39523459061124766,9770
1107,Bmp7,0.6817887717678616,3803
1120,Bola1,0.8679370253396747,958
1125,Bpifa1,0.41509605715452147,9567
1160,Btbd17,0.5802938995629144,5972
1163,Btd,0.6037032519950002,5445
1179,C1qa,0.865095708739323,999
1180,C1qb,0.8266219407315314,1504
1181,C1qbp,0.5528134135259852,6644
1182,C1qc,0.8414290121218497,1297
1183,C1ql1,0.43984327539247375,9184
1184,C1ql3,0.4086381560754994,9646
1185,C1qtnf1,0.571804756530683,6177
1186,C1qtnf4,0.5088564136140299,7725
1187,C2,0.8813633489169205,812
1198,C8g,0.5383484198950026,6988
1238,Calca,0.4579406050945433,8858
1239,Calcb,0.500926217084407,7906
1250,Calu,0.7605888565589605,2423
1266,Cant1,0.8035396627885781,1822
1270,Capg,0.9436232453023073,202
1305,Cartpt,0.4473974212864916,9051
1331,Cbln1,0.5352835594656739,7070
1332,Cbln3,0.5596095180204754,6465
1385,Ccdc80,0.6169650262661104,5136
1398,Cck,0.3629111415288801,9946
1401,Ccl17,0.5961127088754856,5606
1402,Ccl25,0.46068124618562856,8802
1403,Ccl6,0.8747461841664468,881
1404,Ccl9,0.9056987138869759,570
1446,Cd14,0.8955363754567525,671
1469,Cd40,0.7216046533335599,3043
1471,Cd46,0.6538547563272706,4342
1486,Cd9,0.9185776094527923,450
1577,Cela1,0.5745193284223498,6116
1617,Cfh,0.522635354465133,7379
1621,Cfp,0.7377915656223231,2763
1622,Cga,0.48018154994672285,8365
1625,Cgref1,0.5665281385693565,6297
1646,Chga,0.4513585131861,8991
1647,Chgb,0.5554599315615714,6572
1648,Chi3l1,0.45350048129162157,8948
1649,Chia,0.4984001946111998,7969
1652,Chid1,0.5630121792460033,6378
1654,Chl1,0.5124682436878808,7635
1672,Chrd,0.8143442670430678,1672
1673,Chrdl1,0.7434860036585835,2674
1706,Cidea,0.6724094071551824,3976
1729,Clcf1,0.38059751705897243,9856
1746,Clec11a,0.4882380379279648,8183
1750,Clec3b,0.7027362647342821,3408
1785,Clu,0.5559561673309882,6560
1827,Cnpy2,0.5085919012980389,7730
1836,Cntn4,0.44772172794579107,9047
1846,Coch,0.4393064871894445,9195
1853,Col11a1,0.5093486992991677,7712
1854,Col11a2,0.37763488119575406,9883
1855,Col12a1,0.733022367242695,2825
1856,Col15a1,0.4708170817692044,8569
1857,Col16a1,0.8203551993675214,1584
1858,Col17a1,0.47590379918884745,8457
1859,Col18a1,0.466600582192397,8671
1860,Col19a1,0.4495052493482822,9020
1861,Col1a1,0.8942136600891709,684
1862,Col1a2,0.9216671349894328,412
1863,Col20a1,0.48870419650228397,8177
1864,Col22a1,0.3859594938896995,9832
1865,Col25a1,0.4134207920127313,9586
