,gene_name,centrality,rank
165,Aacs,0.4312851164594575,2491
171,Aanat,0.2857304941069416,9810
220,Abhd2,0.4094294256480537,3639
226,Abi1,0.366463872110776,6343
237,Acaca,0.4845707998833805,731
282,Acsl1,0.38878860072674737,4898
289,Acta1,0.37910076901422707,5537
290,Acta2,0.2823228625419289,9850
291,Actb,0.4237348822735687,2888
292,Actc1,0.25905420028245507,9981
296,Actn2,0.33569331409520836,8185
307,Acvr1c,0.4167994598784944,3224
346,Adcy2,0.3681258037065759,6231
347,Adcy3,0.42024115020591807,3055
348,Adcy4,0.36667199228495406,6326
349,Adcy6,0.4070779477779631,3787
350,Adcy7,0.41550795378942196,3306
351,Adcy8,0.5190748494826738,228
352,Adcy9,0.5182739825170078,234
354,Adcyap1r1,0.44758452457933945,1741
361,Adipor1,0.3434928156058345,7766
362,Adipor2,0.38085605736370165,5427
364,Adm,0.3270750080154786,8596
374,Adra1a,0.4207992958801473,3032
375,Adra1b,0.47791823146040335,886
376,Adra2a,0.4178932947206811,3176
377,Adra2b,0.4534233068718074,1549
378,Adra2c,0.33101968514301106,8417
379,Adrb1,0.4408472900370027,2036
380,Adrb2,0.281915901394297,9855
381,Adrb3,0.3909244768124837,4768
413,Agrp,0.3548694065058585,7087
414,Agt,0.3981346707190441,4296
416,Agtr2,0.36787321355731484,6254
417,Agtrap,0.3654435571163135,6403
420,Ahcyl1,0.40418695921731285,3942
439,Aifm1,0.39817824834157645,4291
458,Akap8,0.41022269016452995,3598
471,Akt1,0.3300328478623592,8468
472,Akt2,0.4766107280518885,924
482,Aldh1a2,0.4276694405943981,2678
512,Alpl,0.33232892775818024,8346
585,Anxa1,0.4328328628729383,2426
614,Ap3s1,0.36019106422050806,6739
628,Apc,0.5246899174879558,196
639,Aplp1,0.5036675480088971,407
642,Apoa1,0.3154109538870685,9065
644,Apoa2,0.3863181915119799,5054
645,Apobec1,0.447470672512683,1744
655,App,0.4160346893313233,3266
657,Appl1,0.3879755687483916,4950
658,Appl2,0.33322791890177444,8303
659,Aprt,0.4139025673622902,3389
662,Aqp3,0.3347183892676509,8234
666,Ar,0.4291872667915589,2604
719,Arid1a,0.559885831647759,36
724,Arid5a,0.4212682632672287,3008
754,Arnt,0.36192142108863323,6625
755,Arnt2,0.39319131025522486,4616
759,Arpc1b,0.39754165061372077,4347
767,Arrb1,0.47993446610195284,840
768,Arrb2,0.387206586967132,5002
799,Ash2l,0.40670925232915045,3805
803,Asns,0.44246571063711065,1960
886,Atp6ap1,0.3530551093835961,7193
888,Atp6v0a1,0.49310720573530786,567
889,Atp6v0a2,0.38388553106511736,5225
890,Atp6v0b,0.4687915206065363,1107
891,Atp6v0d1,0.4299384445814076,2567
893,Atp6v1a,0.48649675640237167,696
894,Atp6v1b2,0.3742616767887636,5849
