,gene_name,centrality,rank
0,0610005C13Rik,0.04368247954880477,8014
1,0610007P14Rik,0.04878680946264053,5559
2,0610009B22Rik,0.05837597240341572,1560
3,0610009D07Rik,0.06310057616281439,630
4,0610009O20Rik,0.04760996320739856,6142
5,0610010K14Rik,0.0472184012014364,6336
6,0610031J06Rik,0.054453409284887025,2929
7,0610037L13Rik,0.0521691090557333,3896
8,0610040J01Rik,0.04472439405855827,7555
9,1110001A16Rik,0.05350954866169551,3304
10,1110001J03Rik,0.0628717704050539,666
11,1110004E09Rik,0.054120758245489765,3060
12,1110004F10Rik,0.05617826214764499,2265
13,1110007C09Rik,0.04426969474597201,7754
14,1110008F13Rik,0.049628147960239434,5128
15,1110008J03Rik,0.049552508887976236,5168
16,1110008P14Rik,0.05430105703250107,2990
17,1110012L19Rik,0.052718311223704385,3646
18,1110032A03Rik,0.03832379412184343,9594
19,1110037F02Rik,0.053103837182675875,3465
20,1110038F14Rik,0.04867496330821174,5612
21,1110051M20Rik,0.055940310817244286,2350
22,1110054M08Rik,0.0379758724077954,9660
23,1110057K04Rik,0.049592478048179206,5152
24,1110058L19Rik,0.06619158645547563,292
25,1110059E24Rik,0.04571485436582733,7077
26,1110059G10Rik,0.045932323635091074,6969
27,1190002N15Rik,0.05098053016932535,4456
28,1190005I06Rik,0.051926449945965215,3988
29,1200014J11Rik,0.05609516091759847,2290
30,1300017J02Rik,0.04686736800140892,6498
31,1500015O10Rik,0.049135637842717655,5391
32,1600012H06Rik,0.04665386396350068,6604
33,1600014C10Rik,0.056328589126571925,2221
34,1600029D21Rik,0.037433054175987614,9736
35,1700001G17Rik,0.03680769407965382,9808
36,1700001O22Rik,0.04568109967188131,7098
37,1700010I14Rik,0.03639571526562677,9846
38,1700017B05Rik,0.049891441369048405,4993
39,1700019G17Rik,0.04278705787977992,8353
40,1700019L03Rik,0.03883641288849858,9482
41,1700020I14Rik,0.06098181638850181,1002
42,1700021F05Rik,0.05638318095000053,2195
43,1700028P14Rik,0.04493269489014138,7447
44,1700029H14Rik,0.03769973818442367,9702
45,1700030K09Rik,0.045768072054189146,7036
46,1700037H04Rik,0.05984750726548329,1211
47,1700052N19Rik,0.03800062338737439,9658
48,1700088E04Rik,0.06376083948489514,543
49,1700094D03Rik,0.05332974012257719,3374
50,1700123O20Rik,0.05038054355665197,4754
51,1810009A15Rik,0.043118782015749854,8230
52,1810011O10Rik,0.04257067122452164,8442
53,1810019J16Rik,0.042116388727785004,8600
54,1810026J23Rik,0.057879510767195025,1695
55,1810030O07Rik,0.05030754043863487,4784
56,1810032O08Rik,0.04809050342281829,5904
57,1810037I17Rik,0.05062714680232655,4631
58,1810043G02Rik,0.06434295810883738,474
59,1810055G02Rik,0.041340353886828364,8825
60,1810058I24Rik,0.0459252586736343,6974
61,2010001M06Rik,0.045735327033430424,7061
62,2010003O02Rik,0.04644871560655998,6711
63,2010012O05Rik,0.06102455326224775,990
64,2010107E04Rik,0.05583261979456227,2386
65,2010107G23Rik,0.05672818896281414,2060
66,2010111I01Rik,0.04498090213529045,7428
67,2010204K13Rik,0.06188843108261145,828
68,2210016F16Rik,0.05540942178357071,2550
69,2210016L21Rik,0.05057494724626744,4649
70,2210018M11Rik,0.06285345349735223,668
71,2310002J15Rik,0.033860049260072994,9971
72,2310010J17Rik,0.059739213277525835,1234
73,2310011J03Rik,0.058350548871897334,1567
74,2310022A10Rik,0.04530754696999242,7270
75,2310030G06Rik,0.041842792640026584,8676
76,2310033P09Rik,0.05112012441665113,4388
77,2310036O22Rik,0.048870545946750575,5519
78,2310039H08Rik,0.059972480972383384,1183
79,2310044G17Rik,0.046861117117633556,6500
80,2310061I04Rik,0.05477857723067381,2810
81,2310067B10Rik,0.05795315347575672,1673
82,2410002F23Rik,0.04503946030428044,7397
83,2410004B18Rik,0.05143620866854509,4207
84,2410015M20Rik,0.06573149699549997,327
85,2410016O06Rik,0.044703068404202996,7564
86,2410066E13Rik,0.05757582614496491,1766
87,2510002D24Rik,0.04690819048923026,6480
88,2510009E07Rik,0.03735870286260668,9749
89,2510039O18Rik,0.05187717310917239,4011
90,2610001J05Rik,0.06126723683928081,953
91,2610002J02Rik,0.050813549219304144,4539
92,2610002M06Rik,0.05234198936329492,3823
93,2610018G03Rik,0.05340291126529293,3350
94,2610034M16Rik,0.03565135858551208,9896
95,2610301B20Rik,0.05518435768021691,2648
96,2610507B11Rik,0.05282774381873977,3599
97,2610524H06Rik,0.052169069081472286,3897
98,2700029M09Rik,0.053071826498739365,3479
99,2700050L05Rik,0.045794642582507664,7021
100,2700060E02Rik,0.05276799330120276,3626
101,2700062C07Rik,0.03670049995981062,9816
102,2700089E24Rik,0.04991534368910333,4978
103,2700094K13Rik,0.0559856852444563,2334
104,2700097O09Rik,0.04190028417945931,8659
105,2810002D19Rik,0.04537487406417626,7243
106,2810004N23Rik,0.05675838167880046,2044
107,2810025M15Rik,0.05121583988226883,4341
108,2810403A07Rik,0.037332680164538556,9756
109,2810408M09Rik,0.05385776841780418,3166
110,2810428I15Rik,0.05893979383111923,1419
111,2810459M11Rik,0.046860362008653414,6502
112,2810474O19Rik,0.049650781302142094,5115
113,2900011O08Rik,0.06387077249427774,530
114,2900097C17Rik,0.050488887243844045,4687
115,3010026O09Rik,0.05025080911268532,4828
116,3110002H16Rik,0.04074949818914999,9027
117,3110009E18Rik,0.0496729248104961,5105
118,3110040N11Rik,0.038917425645379984,9464
119,3110043O21Rik,0.03904708389084867,9440
120,3110070M22Rik,0.04484217015217618,7496
121,3830406C13Rik,0.052192285298770194,3886
122,4632428N05Rik,0.04488258840505225,7467
123,4833420G17Rik,0.051600515661782934,4130
124,4833439L19Rik,0.047018818382690106,6424
125,4921524J17Rik,0.06017502367656727,1152
126,4930429B21Rik,0.040769400659665556,9018
127,4930430F08Rik,0.056034964951636325,2314
128,4930441O14Rik,0.040632697429821465,9059
129,4930453N24Rik,0.04866470873952816,5619
130,4931406C07Rik,0.042457037324148884,8495
131,4932438A13Rik,0.05620914946841602,2256
132,4933411K20Rik,0.04375205262716676,7986
133,4933426M11Rik,0.048073659246199704,5910
134,4933428G20Rik,0.04368207991853108,8015
135,4933431E20Rik,0.05734687390820598,1836
136,4933434E20Rik,0.04884192409368966,5534
137,5031439G07Rik,0.06035898446413784,1118
138,5330417C22Rik,0.04992913253957681,4973
139,5430417L22Rik,0.04257394669692218,8440
140,5430435G22Rik,0.041641281755984354,8735
141,6030458C11Rik,0.044047563000965295,7848
142,6330403K07Rik,0.05979158182236873,1221
143,6330408A02Rik,0.04775211851858085,6067
144,6330416G13Rik,0.0443396555368941,7713
145,6430548M08Rik,0.06602590100624188,308
146,8430419L09Rik,0.04169760355437194,8717
147,9030617O03Rik,0.047144774248171706,6367
148,9030624J02Rik,0.058318242487983396,1577
149,9130221H12Rik,0.04866589190631716,5618
150,9130401M01Rik,0.05110387266596165,4399
151,9430015G10Rik,0.045261472730994644,7295
152,9430016H08Rik,0.04925763655985786,5330
153,9430023L20Rik,0.062156847130649936,785
154,9530068E07Rik,0.0514307734391061,4211
155,9930013L23Rik,0.04681635908966413,6522
156,A030009H04Rik,0.039504252920512975,9342
157,A230006K03Rik,0.05939431197653857,1311
158,A230046K03Rik,0.050655195265960025,4612
159,A230050P20Rik,0.057773720976677795,1714
160,A2m,0.041837000002698105,8677
161,A430005L14Rik,0.043558520699346154,8061
162,A4galt,0.0448183160045196,7509
163,A530058N18Rik,0.040146936773384205,9200
164,Aaas,0.04256055774666555,8451
165,Aacs,0.055545480924771705,2496
166,Aaed1,0.042801078471623594,8345
167,Aagab,0.04650883420809108,6681
168,Aak1,0.06677755263410368,235
169,Aamdc,0.05667329989631276,2079
170,Aamp,0.06759597650785422,195
171,Aanat,0.03679886772465911,9809
172,Aar2,0.05350767926876166,3306
173,Aard,0.04153635895884054,8759
174,Aars,0.04532990976853315,7262
175,Aarsd1,0.05546178837023244,2527
176,Aass,0.03918078851355567,9413
177,Aatf,0.04275730750600812,8362
178,Aatk,0.056479204912164474,2158
179,Abat,0.05894843548350983,1413
180,Abca1,0.04729840422774106,6301
181,Abca2,0.0532300474008412,3421
182,Abca3,0.053514372236486654,3301
183,Abca7,0.054894019548814746,2757
184,Abca8a,0.041403081537905326,8812
185,Abca8b,0.05182572121909887,4043
186,Abcb10,0.050442895290552583,4719
187,Abcb1a,0.04231937791563908,8534
188,Abcb1b,0.039596883167554636,9323
189,Abcb4,0.044020391326180644,7865
190,Abcb6,0.04645700181704877,6707
191,Abcb7,0.05056372956645024,4656
192,Abcb8,0.05819556679907591,1609
193,Abcb9,0.045047131417656046,7393
194,Abcc1,0.04332101026243244,8148
195,Abcc10,0.048414987765131735,5745
196,Abcc3,0.043612693743638985,8047
197,Abcc5,0.04222683009627512,8558
198,Abcc6,0.047446527024958864,6214
